+====================+===================+=============================+
| Launch Setup Clock | Launch Hold Clock | Pin                         |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[361]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1189]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1208]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[791]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[140]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1742]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1523]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1720]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1448]/D |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[561]/D  |
| sys_clk_pin        | sys_clk_pin       | v/ai/ascii_flat_reg[1900]/D |
